Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
753,6,64,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,guarantor,4 to 7,no assets,no running credits,owner-occupied flat,one,skilled
2576,7,35,1,1,0,0,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
590,6,26,1,1,0,0,female,no balance or debit,no previous credits,items of furniture,no savings,less than one year,20 and 25,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
1414,8,33,1,1,0,0,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1103,12,29,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,guarantor,4 to 7,no assets,no running credits,owner-occupied flat,two or three,skilled
585,12,20,1,1,0,1,female,no balance or debit,no problems with current credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,co-applicant,greater than 7,no assets,no running credits,free apartment,two or three,skilled
1068,6,28,1,0,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
713,8,47,1,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1092,12,49,1,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
2329,7,45,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,less than one year,greater than 35,guarantor,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
882,13,23,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,less than one year,less than 20,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
866,18,25,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
2415,7,34,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2101,13,23,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,less than one year,25 and 35,guarantor,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
1301,18,32,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,more than 7 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
1113,18,26,1,0,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
760,8,44,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
625,12,26,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,less than one year,less than 20,guarantor,less than 1,no assets,other banks,owner-occupied flat,one,unskilled
1323,6,28,1,0,1,1,male- divorced / living apart,Less than $200,paid back previous credits at this bank,other,less than 100,more than 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1138,9,25,1,1,0,1,male- single,no running account,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1795,18,48,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,20 and 25,guarantor,greater than 7,no assets,other banks,free apartment,two or three,unskilled
2728,15,35,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,greater than 1000,4  to 7 years,less than 20,guarantor,1 to 4,no assets,other banks,owner-occupied flat,four or five,skilled
484,6,28,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,4  to 7 years,20 and 25,guarantor,4 to 7,no assets,other banks,owner-occupied flat,one,unskilled
1048,10,23,1,1,0,1,male- single,no balance or debit,problematic running account,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,department stores,owner-occupied flat,one,unskilled
1155,12,40,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,more than 7 years,20 and 25,guarantor,4 to 7,no assets,other banks,owner-occupied flat,two or three,unskilled
7057,20,36,1,0,1,1,male- single,no balance or debit,no problems with current credits at this bank,new car,greater than 1000,4  to 7 years,20 and 25,none,greater than 7,car/other,other banks,free apartment,two or three,executive
1537,15,50,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
2214,12,24,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,unskilled
1585,24,40,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1521,10,31,1,1,0,1,male- divorced / living apart,no balance or debit,no previous credits,used car,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,unskilled
3990,36,29,1,1,0,1,male- single,no balance or debit,problematic running account,items of furniture,greater than 1000,less than one year,20 and 25,none,1 to 4,house/land,other banks,owner-occupied flat,one,unemployed
3049,18,45,1,1,0,1,male- single,Less than $200,no previous credits,used car,no savings,less than one year,greater than 35,none,less than 1,car/other,department stores,owner-occupied flat,one,unskilled
1282,24,32,0,1,0,1,male- single,no running account,no previous credits,items of furniture,less than 100,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,unskilled
10144,60,21,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,4  to 7 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1168,12,27,1,1,0,1,female,no running account,no previous credits,other,no savings,1 to 4 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
454,6,22,1,1,0,1,female,no balance or debit,no previous credits,household appliances,no savings,less than one year,20 and 25,none,less than 1,car/other,no running credits,owner-occupied flat,one,unskilled
3594,15,46,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,new car,no savings,less than one year,greater than 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
1768,12,24,1,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,free apartment,one,unskilled
15653,60,21,1,1,1,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,no savings,4  to 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
2247,12,36,1,1,1,1,male- single,Less than $200,no problems with current credits at this bank,other,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,department stores,owner-occupied flat,two or three,skilled
1413,24,28,1,1,0,1,female,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
4576,45,27,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,new car,less than 100,unemployed,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1231,24,57,1,1,1,1,male- single,no running account,paid back previous credits at this bank,items of furniture,500 to 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,free apartment,two or three,executive
8335,36,47,0,1,0,1,male- single,no running account,no previous credits,new car,greater than 1000,more than 7 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,one,skilled
5800,36,34,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,new car,no savings,1 to 4 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
8471,18,23,1,1,1,1,male- single,no running account,no problems with current credits at this bank,repair,greater than 1000,1 to 4 years,greater than 35,none,1 to 4,savings,no running credits,free apartment,two or three,skilled
3622,30,57,1,1,1,1,male- single,no running account,no previous credits,used car,500 to 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,free apartment,two or three,skilled
1169,6,67,1,1,1,1,male- single,no running account,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1262,15,36,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
3617,24,20,1,1,0,1,male- single,Less than $200,paid back previous credits at this bank,used car,greater than 1000,more than 7 years,less than 20,co-applicant,greater than 7,house/land,no running credits,free apartment,two or three,skilled
2181,30,36,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,greater than 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
